"","Subject","trialNum","adaptor","exposureLength","response","soundfile","keyResp","keyRT","Time"
"264","ABCD_1704",6,"b",70,"d","a_bd12_CV.wav","m",0.703414916992,437.306579113
"265","ABCD_1704",6,"b",70,"d","a_bd14_CV.wav","m",0.711508989334,438.218466043
"266","ABCD_1704",6,"b",70,"b","a_bd08_CV.wav","z",0.815473079681,439.234336138
"267","ABCD_1704",6,"b",70,"b","a_bd04_CV.wav","z",0.647755861282,440.082489014
"268","ABCD_1704",6,"b",70,"b","a_bd02_CV.wav","z",0.70342206955,440.986297131
"269","ABCD_1704",6,"b",70,"d","a_bd10_CV.wav","m",0.759569883347,441.946237087
"270","ABCD_1704",6,"b",70,"d","a_bd16_CV.wav","m",0.743628025055,442.89025712
"271","ABCD_1704",7,"d",70,"d","a_bd16_CV.wav","m",0.851562976837,483.226114035
"272","ABCD_1704",7,"d",70,"d","a_bd18_CV.wav","m",0.639590978622,484.06607604
"273","ABCD_1704",7,"d",70,"d","a_bd12_CV.wav","m",1.1433968544,485.409852982
"274","ABCD_1704",7,"d",70,"b","a_bd10_CV.wav","z",0.911712884903,486.521922112
"275","ABCD_1704",7,"d",70,"b","a_bd06_CV.wav","z",0.687528848648,487.409831047
"276","ABCD_1704",7,"d",70,"d","a_bd14_CV.wav","m",0.799604177475,488.409806013
"277","ABCD_1704",7,"d",70,"b","a_bd08_CV.wav","z",0.639616012573,489.249772072
"278","ABCD_1704",7,"d",70,"b","a_bd02_CV.wav","z",0.575598955154,490.025746107
"279","ABCD_1704",7,"d",70,"b","a_bd04_CV.wav","z",0.703698158264,490.929802179
"280","ABCD_1704",8,"b",70,"d","a_bd06_CV.wav","m",1.85019898415,532.293612003
"281","ABCD_1704",8,"b",70,"d","a_bd12_CV.wav","m",0.679109096527,533.173509121
"282","ABCD_1704",8,"b",70,"d","a_bd18_CV.wav","m",0.671673059464,534.045535088
"283","ABCD_1704",8,"b",70,"b","a_bd08_CV.wav","z",0.887619972229,535.133517981
"284","ABCD_1704",8,"b",70,"d","a_bd10_CV.wav","m",0.631563186646,535.965430975
"285","ABCD_1704",8,"b",70,"d","a_bd14_CV.wav","m",0.687798023224,536.853576183
"286","ABCD_1704",8,"b",70,"b","a_bd02_CV.wav","z",0.68751502037,537.741445065
"287","ABCD_1704",8,"b",70,"d","a_bd16_CV.wav","m",0.671690940857,538.613504171
